Date,Average
8/9/2017,1.335
8/8/2017,1.335
8/7/2017,1.335
8/6/2017,1.365
8/5/2017,1.31
8/4/2017,1.275
8/3/2017,1.255
8/2/2017,1.25
8/1/2017,1.23
7/31/2017,1.2
7/30/2017,1.25
7/29/2017,1.265
7/28/2017,1.295
7/27/2017,1.285
7/26/2017,1.26
7/25/2017,1.415
7/24/2017,1.56
7/23/2017,1.69
7/22/2017,1.595
7/21/2017,1.395
7/20/2017,1.25
7/19/2017,1.195
7/18/2017,1.19
7/17/2017,1.0037335
7/16/2017,0.9254865
7/15/2017,1.011577
7/14/2017,1.115
7/13/2017,1.26
7/12/2017,1.245
7/11/2017,1.185
7/10/2017,1.4
7/9/2017,1.615
7/8/2017,1.605
7/7/2017,1.69
7/6/2017,1.825
7/5/2017,1.835
7/4/2017,1.74
7/3/2017,1.64
7/2/2017,1.62
7/1/2017,1.625
6/30/2017,1.705
6/29/2017,1.835
6/28/2017,1.865
6/27/2017,1.79
6/26/2017,1.845
6/25/2017,1.97
6/24/2017,2.115
6/23/2017,2.09
6/22/2017,1.995
6/21/2017,2.01
6/20/2017,2.08
6/19/2017,2.06
6/18/2017,2.02
6/17/2017,2.065
6/16/2017,2.055
6/15/2017,2.005
6/14/2017,2.17
6/13/2017,2.225
6/12/2017,2.27
6/11/2017,2.335
6/10/2017,2.37
6/9/2017,2.425
6/8/2017,2.25
6/7/2017,2.35
6/6/2017,2.16
6/5/2017,1.5
6/4/2017,1.295
6/3/2017,1.31
6/2/2017,1.16
6/1/2017,0.975049
5/31/2017,0.9400205
5/30/2017,0.9482565
5/29/2017,0.961547
5/28/2017,0.886288
5/27/2017,0.890598
5/26/2017,1.020438
5/25/2017,1.15
5/24/2017,1.235
5/23/2017,1.19
5/22/2017,1.225
5/21/2017,1.245
5/20/2017,1.125
5/19/2017,0.998937
5/18/2017,0.9092775
5/17/2017,0.816641
5/16/2017,0.834805
5/15/2017,0.823741
5/14/2017,0.742122
5/13/2017,0.733501
5/12/2017,0.754561
5/11/2017,0.8066565
5/10/2017,0.8042715
5/9/2017,0.8999945
5/8/2017,0.7768295
5/7/2017,0.4643895
5/6/2017,0.365308
5/5/2017,0.3097015
5/4/2017,0.2850405
5/3/2017,0.274452
5/2/2017,0.272287
5/1/2017,0.272691
4/30/2017,0.28475
4/29/2017,0.27617
4/28/2017,0.251866
4/27/2017,0.238899
4/26/2017,0.2291165
4/25/2017,0.227992
4/24/2017,0.2298325
4/23/2017,0.2256545
4/22/2017,0.2278015
4/21/2017,0.2277465
4/20/2017,0.2318885
4/19/2017,0.239355
4/18/2017,0.2415855
4/17/2017,0.234196
4/16/2017,0.2069945
4/15/2017,0.180507
4/14/2017,0.161043
4/13/2017,0.162027
4/12/2017,0.159598
4/11/2017,0.15548
4/10/2017,0.1553655
4/9/2017,0.158082
4/8/2017,0.155898
4/7/2017,0.157652
4/6/2017,0.1649105
4/5/2017,0.1665235
4/4/2017,0.1700505
4/3/2017,0.169292
4/2/2017,0.170534
4/1/2017,0.173175
3/31/2017,0.1679105
3/30/2017,0.1611085
3/29/2017,0.16483
3/28/2017,0.1637525
3/27/2017,0.1627285
3/26/2017,0.1752475
3/25/2017,0.164871
3/24/2017,0.154518
3/23/2017,0.1640635
3/22/2017,0.164615
3/21/2017,0.176263
3/20/2017,0.1956995
3/19/2017,0.187614
3/18/2017,0.152725
3/17/2017,0.1115095
3/16/2017,0.08767
3/15/2017,0.0813305
3/14/2017,0.085193
3/13/2017,0.0790745
3/12/2017,0.0723165
3/11/2017,0.072494
3/10/2017,0.076917
3/9/2017,0.081102
3/8/2017,0.085967
3/7/2017,0.093856
3/6/2017,0.097764
3/5/2017,0.097162
3/4/2017,0.0940645
3/3/2017,0.0921445
3/2/2017,0.0964235
3/1/2017,0.10168
2/28/2017,0.110213
2/27/2017,0.1110695
2/26/2017,0.112501
2/25/2017,0.111687
2/24/2017,0.112551
2/23/2017,0.113812
2/22/2017,0.1059
2/21/2017,0.1088055
2/20/2017,0.1179515
