"from","to","total_amount","day","month","year"
alexbeyman,blocktrades,340.0000,6,8,2016
amor,poloniex,9.4080,6,8,2016
bendjmiller222,bittrex,44.6750,6,8,2016
bittrex,sveokla,260.0000,6,8,2016
blocktrades,alexbeyman,170.0000,6,8,2016
claudiop63,poloniex,1966.5280,6,8,2016
darkstormrise,poloniex,1.0100,6,8,2016
derekareith,bittrex,319.5590,6,8,2016
enki,bittrex,3000.0000,6,8,2016
federicopistono,poloniex,76.1270,6,8,2016
fyrstikken,bittrex,280.5330,6,8,2016
karnal,poloniex,440.7220,6,8,2016
katecloud,blocktrades,6153.6150,6,8,2016
katyjones,poloniex,0.2710,6,8,2016
keithsmih,bittrex,1.8760,6,8,2016
klye,poloniex,452.0060,6,8,2016
kus-knee,blocktrades,160.0000,6,8,2016
letsgo.asino,poloniex,10.1820,6,8,2016
mctiller,bittrex,190.4190,6,8,2016
merlinscat,bittrex,0.0600,6,8,2016
mrwang,blocktrades,2.3180,6,8,2016
poloniex,blockchainbilly,71.4080,6,8,2016
poloniex,blockchain-info,499.9900,6,8,2016
poloniex,damono,192.7210,6,8,2016
poloniex,mughat,2200.0000,6,8,2016
poloniex,sotnd1996,250.5450,6,8,2016
puck82,blocktrades,32.4030,6,8,2016
razvanelulmarin,bittrex,245.8300,6,8,2016
sotnd1996,poloniex,250.5550,6,8,2016
teresapioppi,bittrex,0.0280,6,8,2016
alexgr,bittrex,49.6050,6,8,2016
anhtu,poloniex,8.6680,6,8,2016
bittrex,thebatchman,1110.3300,6,8,2016
bittrez,bittrex,1.2840,6,8,2016
cloveandcinnamon,bittrex,13.3570,6,8,2016
fogspam,poloniex,44.1110,6,8,2016
infinitor,bittrex,560.0000,6,8,2016
jeison,bittrex,1.5990,6,8,2016
jholdsworthy,poloniex,9.8670,6,8,2016
mrgreen,bittrex,160.0000,6,8,2016
on0tole,bittrex,100.0000,6,8,2016
poloniex,alifton,46.0240,6,8,2016
poloniex,vi1son,96.3890,6,8,2016
pseudonymwriter,bittrex,21.6650,6,8,2016
raphma,poloniex,80.0000,6,8,2016
rznag,poloniex,400.0000,6,8,2016
serejandmyself,bittrex,650.0000,6,8,2016
steve-walschot,poloniex,500.0000,6,8,2016
uxandthecity,bittrex,1928.9270,6,8,2016
wisehammer,bittrex,0.4980,6,8,2016
yoganarchista,blocktrades,160.1160,6,8,2016
adinda,bittrex,1.1670,6,8,2016
adrienne,bittrex,0.0370,6,8,2016
azaan,blocktrades,4.4930,6,8,2016
benslayton,bittrex,1180.2220,6,8,2016
bittrex,benslayton,1180.2100,6,8,2016
bythenumbers432,bittrex,111.0000,6,8,2016
cashbandicoot,bittrex,95.0000,6,8,2016
linouxis9,poloniex,118.0850,6,8,2016
macartem,poloniex,0.0820,6,8,2016
metrox,poloniex,676.5030,6,8,2016
on0tole,poloniex,160.0000,6,8,2016
perfectworld,poloniex,4.2710,6,8,2016
veralynn,blocktrades,146.1170,6,8,2016
zebbra2014,poloniex,0.0300,6,8,2016
asd91,bittrex,4501.0000,7,8,2016
ash,poloniex,27.0000,7,8,2016
blueciruit,bittrex,1.4580,7,8,2016
chinese-gandalf,bittrex,1.4370,7,8,2016
dragonanarchist,poloniex,380.0000,7,8,2016
inertia,bittrex,713.2580,7,8,2016
instructor2121,poloniex,0.5000,7,8,2016
madbitcoins,bittrex,6740.0000,7,8,2016
marcgodard,bittrex,0.5540,7,8,2016
marsresident,bittrex,96.6150,7,8,2016
movievertigo,poloniex,226.6410,7,8,2016
poloniex,arcurus,2002.5900,7,8,2016
poloniex,icfiedler,349.9900,7,8,2016
poloniex,james-show,275.4140,7,8,2016
poloniex,jl777,299.9900,7,8,2016
poloniex,liqui,204.8640,7,8,2016
poloniex,tecno,602.7800,7,8,2016
suika,poloniex,26.5120,7,8,2016
toxichan,poloniex,79.6020,7,8,2016
wisehammer,bittrex,10.0670,7,8,2016
a11at,poloniex,0.0410,7,8,2016
alexalbert,blocktrades,0.0410,7,8,2016
baharoba,poloniex,93.3720,7,8,2016
bendjmiller222,bittrex,251.2890,7,8,2016
bittrex,blocktrades,28.6400,7,8,2016
bittrex,poloniex,1046.2200,7,8,2016
bittrex,steemgrindr,80.9900,7,8,2016
elliottgodard,bittrex,0.5000,7,8,2016
elyaque,poloniex,66.3530,7,8,2016
federicopistono,poloniex,89.7880,7,8,2016
jennamarbles,poloniex,52.8620,7,8,2016
klye,poloniex,165.0300,7,8,2016
larkenrose,poloniex,1426.1770,7,8,2016
macrochip,poloniex,1400.0000,7,8,2016
maximkichev,poloniex,22.7580,7,8,2016
mctiller,bittrex,32.6970,7,8,2016
mrwang,blocktrades,10.5000,7,8,2016
poloniex,bittrex,2846.1650,7,8,2016
poloniex,btcmsia,3191.1130,7,8,2016
poloniex,shutkin70,2036.2200,7,8,2016
poloniex,steemgrindr,1159.1780,7,8,2016
poloniex,term8,11.0520,7,8,2016
rampantdigitalis,poloniex,0.1850,7,8,2016
rawlzsec,poloniex,0.0440,7,8,2016
shoesnfood,poloniex,5.7460,7,8,2016
sweetsssj,poloniex,1052.6380,7,8,2016
takethecannoli,bittrex,574.3540,7,8,2016
taz,bittrex,0.1420,7,8,2016
akaninyene-etuk,bittrex,5.1750,7,8,2016
allmonitors,poloniex,3.0000,7,8,2016
anthonyc,bittrex,10.2270,7,8,2016
anwenbaumeister,bittrex,1000.0000,7,8,2016
bittrex,smooth-c,11000.0000,7,8,2016
bittrex,sonsy,2186.9900,7,8,2016
jacqueline.ohara,poloniex,10.0000,7,8,2016
jesselivermore,poloniex,177.7600,7,8,2016
jholdsworthy,poloniex,253.7640,7,8,2016
juanmora,bittrex,10.0200,7,8,2016
kapets123,bittrex,1.1900,7,8,2016
lanaru,bittrex,1.9390,7,8,2016
lauralemons,blocktrades,20.0000,7,8,2016
njall,bittrex,29.5550,7,8,2016
orca,bittrex,7.0000,7,8,2016
poloniex,creationlayer,2534.2960,7,8,2016
shaneradliff,blocktrades,305.0000,7,8,2016
stino-san,bittrex,28.6530,7,8,2016
zebbra2014,poloniex,0.0850,7,8,2016
bbqbear,poloniex,811.0000,7,8,2016
bittrex,enki,1999.9900,7,8,2016
bittrex,sbrukh,62.0900,7,8,2016
bittrex,zer0sum,250.5000,7,8,2016
bridgetbunchy,poloniex,365.6580,7,8,2016
erroneous-logic,bittrex,0.4500,7,8,2016
hookerdown,poloniex,1.0440,7,8,2016
lehard,bittrex,220.0000,7,8,2016
mguy808,bittrex,1175.8630,7,8,2016
modeprator,bittrex,10.9210,7,8,2016
pencepoundsshill,poloniex,4.0220,7,8,2016
poias,poloniex,0.5360,7,8,2016
poloniex,blockchain-info,499.9900,7,8,2016
poloniex,enki,2899.9900,7,8,2016
poloniex,zer0sum,199.0000,7,8,2016
rainchen,bittrex,1.6150,7,8,2016
steemitmom,poloniex,12.0160,7,8,2016
steve-walschot,poloniex,304.1150,7,8,2016
tinfoilfedora,bittrex,1000.0000,7,8,2016
alexgr,bittrex,27.9530,8,8,2016
bacchist,poloniex,439.1310,8,8,2016
bittrex,blocktrades,17.6000,8,8,2016
bittrex,demotruk,1167.7700,8,8,2016
bittrex,herbic,1.9900,8,8,2016
bittrex,juanmiguelsalas,28.1600,8,8,2016
germanaure,bittrex,0.4090,8,8,2016
jeison,bittrex,1.4080,8,8,2016
jholdsworthy,poloniex,136.2660,8,8,2016
krishtopa,bittrex,1182.9070,8,8,2016
luke-crowley,blocktrades,450.1590,8,8,2016
mrgreen,bittrex,1200.0000,8,8,2016
mrwang,blocktrades,2.4400,8,8,2016
mummyimperfect,poloniex,93.8010,8,8,2016
nonlinearone,blocktrades,0.4200,8,8,2016
poloniex,vi1son,110.9490,8,8,2016
sethlinson,poloniex,380.0000,8,8,2016
shawnjoseph,poloniex,0.0760,8,8,2016
simba,bittrex,59.8970,8,8,2016
sven.hennes,poloniex,0.2270,8,8,2016
techemist,poloniex,1508.8840,8,8,2016
tosch,poloniex,55.0000,8,8,2016
anggicitrayani,poloniex,118.6450,8,8,2016
basay007,bittrex,0.1330,8,8,2016
beervangeer,poloniex,8.9260,8,8,2016
bittrex,poloniex,10417.0400,8,8,2016
bittrex,steemgrindr,498.7600,8,8,2016
btctravis,bittrex,1628.3160,8,8,2016
business,bittrex,8.8060,8,8,2016
c082832,bittrex,3.8080,8,8,2016
cashbandicoot,bittrex,10.0000,8,8,2016
emancipatedhuman,bittrex,100.0000,8,8,2016
eneismijmich,poloniex,341.6430,8,8,2016
grandpere,bittrex,100.0000,8,8,2016
guerrint,bittrex,1376.0000,8,8,2016
imyao,poloniex,500.0000,8,8,2016
infovore,bittrex,1111.0000,8,8,2016
isteemit,bittrex,842.8220,8,8,2016
les-peters,bittrex,35.2810,8,8,2016
macartem,poloniex,197.4690,8,8,2016
masteryoda,poloniex,1295.9710,8,8,2016
metrox,poloniex,803.4780,8,8,2016
moonjelly,poloniex,20.6240,8,8,2016
mrgrey,bittrex,260.0000,8,8,2016
orly,poloniex,1.8500,8,8,2016
pjheinz,poloniex,79.7150,8,8,2016
poloniex,bittrex,396.9330,8,8,2016
poloniex,enki,4999.9900,8,8,2016
poloniex,icfiedler,1999.9800,8,8,2016
poloniex,masteryoda,1295.9610,8,8,2016
poloniex,paws1t1veev,598.5800,8,8,2016
shredlord,bittrex,100.0000,8,8,2016
sweetsssj,poloniex,52.1500,8,8,2016
terrycraft,blocktrades,390.0000,8,8,2016
thegoldencookie,bittrex,208.0000,8,8,2016
toroiskandar,poloniex,207.6740,8,8,2016
wingz,poloniex,525.4150,8,8,2016
xapo,bittrex,0.5400,8,8,2016
acassity,poloniex,50.6840,8,8,2016
artist1989,poloniex,2.4700,8,8,2016
baronofbitcoin,blocktrades,167.1050,8,8,2016
bear8photo,blocktrades,40.0000,8,8,2016
bittrex,mguy808,1175.8500,8,8,2016
crypto.owl,poloniex,28.0000,8,8,2016
cryptoctopus,bittrex,6186.4320,8,8,2016
dashpaymag,poloniex,876.6840,8,8,2016
domavila,poloniex,162.8500,8,8,2016
fyrstikken,bittrex,422.6080,8,8,2016
inboundinken,poloniex,4500.0000,8,8,2016
jamiecrypto,poloniex,411.0000,8,8,2016
kenjiby,poloniex,5.3520,8,8,2016
nanzo-scoop,poloniex,151.6210,8,8,2016
poloniex,team,29.9800,8,8,2016
steemit-nation,bittrex,650.0000,8,8,2016
steempower,poloniex,1000.0000,8,8,2016
sterlinluxan,blocktrades,5.0000,8,8,2016
stino-san,bittrex,17.6160,8,8,2016
taoteh1221,poloniex,6.4610,8,8,2016
tobias,poloniex,8720.4380,8,8,2016
twinner,poloniex,11.8700,8,8,2016
xcode18,bittrex,4.1370,8,8,2016
zer0sum,bittrex,14.0000,8,8,2016
aaravednit,poloniex,104.2710,8,8,2016
angielb,poloniex,7.8210,8,8,2016
anwenbaumeister,bittrex,4000.0000,8,8,2016
arcaneinfo,bittrex,6.3140,8,8,2016
bittrex,arslan7544,3471.8500,8,8,2016
bittrex,james-show,197.8100,8,8,2016
blocktrades,tobias,8720.4380,8,8,2016
bravenewcoin,poloniex,189.2080,8,8,2016
changelly,fuzz,0.2000,8,8,2016
changelly,poloniex,0.1000,8,8,2016
chitty,poloniex,500.0000,8,8,2016
cousteau,blocktrades,7.0000,8,8,2016
danny-g,bittrex,0.1200,8,8,2016
edbriv,blocktrades,160.9540,8,8,2016
erroneous-logic,bittrex,1.9330,8,8,2016
fuzz,changelly,0.2000,8,8,2016
hr1,bittrex,1001.0000,8,8,2016
innerexplorer,poloniex,0.5230,8,8,2016
james-show,bittrex,1901.4220,8,8,2016
jamtaylor,bittrex,124.7770,8,8,2016
jessica-miller,blocktrades,171.5640,8,8,2016
juvyjabian,bittrex,70.0000,8,8,2016
larkenrose,poloniex,2430.0000,8,8,2016
lauralemons,blocktrades,195.0000,8,8,2016
lenerdie,poloniex,974.4550,8,8,2016
mahekg,poloniex,235.0460,8,8,2016
mctiller,bittrex,114.1630,8,8,2016
meteor78,blocktrades,9.5520,8,8,2016
oaldamster,blocktrades,216.8930,8,8,2016
piedpiper,bittrex,320.1010,8,8,2016
poloniex,btcmsia,7098.8500,8,8,2016
poloniex,changelly,59.9900,8,8,2016
poloniex,mughat,2200.0000,8,8,2016
poloniex,steemgrindr,1465.4900,8,8,2016
shutkin70,poloniex,302.8800,8,8,2016
stakepool,bittrex,123.6310,8,8,2016
steemgrindr,poloniex,57.3250,8,8,2016
steve-walschot,poloniex,283.0860,8,8,2016
sumsteem,poloniex,634.1500,8,8,2016
taufik123,bittrex,9.0000,8,8,2016
timd,bittrex,8.6110,8,8,2016
tinfoilfedora,bittrex,500.0000,8,8,2016
abundances,blocktrades,0.0280,9,8,2016
anduweb,poloniex,150.0000,9,8,2016
ash,bittrex,25.0000,9,8,2016
bittrex,smooth-c,18000.0000,9,8,2016
bittrex,zer0sum,300.0000,9,8,2016
blocktrades,karnal,44.3060,9,8,2016
business,bittrex,40.7160,9,8,2016
fav,poloniex,301.0580,9,8,2016
ftlian,poloniex,10.0000,9,8,2016
gladkos,changelly,3.0000,9,8,2016
hisnameisolllie,poloniex,1500.0000,9,8,2016
hitbtc-exchange,hitbtc-payout,1.9850,9,8,2016
hitbtc-payout,hitbtc-exchange,1.9740,9,8,2016
jordanbradley,bittrex,100.0000,9,8,2016
karnal,blocktrades,50.0000,9,8,2016
majin88,poloniex,0.0100,9,8,2016
sammy007,poloniex,101.8590,9,8,2016
satire,poloniex,104.3930,9,8,2016
veralynn,blocktrades,34.7950,9,8,2016
zivile,bittrex,4.0380,9,8,2016
alexgr,bittrex,0.7220,9,8,2016
andrewfoodist,poloniex,362.0760,9,8,2016
arslan7544,bittrex,145.3180,9,8,2016
arslan7544,poloniex,1132.7780,9,8,2016
bittrex,enki,3999.9900,9,8,2016
bones,poloniex,1.6040,9,8,2016
bravenewcoin,poloniex,185.0260,9,8,2016
healthyrecipes,bittrex,217.8120,9,8,2016
herbic,poloniex,415.8400,9,8,2016
infinitor,bittrex,124.0000,9,8,2016
juanmora,blocktrades,10.0000,9,8,2016
mauliah-putri,bittrex,2.3380,9,8,2016
moch-yusuf,bittrex,0.7830,9,8,2016
poloniex,alifton,54.8680,9,8,2016
poloniex,enki,1999.9900,9,8,2016
poloniex,imyao,199.9900,9,8,2016
ryan-singer,blocktrades,917.0970,9,8,2016
steemrolled,poloniex,6.4490,9,8,2016
steve-walschot,poloniex,109.4590,9,8,2016
stevo,bittrex,119.7960,9,8,2016
venuspcs,bittrex,1646.5050,9,8,2016
acquaviva,blocktrades,42.6050,9,8,2016
andu,poloniex,9.4590,9,8,2016
binyamin,poloniex,0.0100,9,8,2016
bittrex,cryptoctopus,1993.3700,9,8,2016
blocktalk,bittrex,572.3340,9,8,2016
claudiop63,poloniex,190.0000,9,8,2016
darthnava,blocktrades,1.0000,9,8,2016
domavila,poloniex,100.2380,9,8,2016
drinkzya,poloniex,90.0000,9,8,2016
erroneous-logic,bittrex,0.0240,9,8,2016
etz,poloniex,8.1490,9,8,2016
fyrstikken,bittrex,129.9210,9,8,2016
holzmichl,bittrex,5.8770,9,8,2016
instructor2121,poloniex,113.0000,9,8,2016
kaykunoichi,bittrex,13.0000,9,8,2016
larkenrose,poloniex,405.7700,9,8,2016
madbitcoins,bittrex,143.6540,9,8,2016
mrwang,blocktrades,4.6910,9,8,2016
nastik,poloniex,432.0000,9,8,2016
opheliafu,poloniex,150.0000,9,8,2016
poloniex,driv3n,104.1400,9,8,2016
poloniex,mughat,2200.0000,9,8,2016
poloniex,zer0sum,100.0000,9,8,2016
razvanelulmarin,bittrex,247.6090,9,8,2016
sterlinluxan,poloniex,1355.0000,9,8,2016
stino-san,blocktrades,21.8110,9,8,2016
summonerrk,poloniex,575.0000,9,8,2016
trisnawati,blocktrades,177.6070,9,8,2016
weenis,poloniex,9.6230,9,8,2016
bayareacoins,bittrex,499.2450,9,8,2016
belkins,bittrex,6.8690,9,8,2016
bittrex,james-show,337.5700,9,8,2016
bittrex,poloniex,1326.8500,9,8,2016
bittrex,steemgrindr,110.5200,9,8,2016
blocktrades,tobias,8996.2390,9,8,2016
cmtzco,bittrex,50.6390,9,8,2016
darkb4dawn,poloniex,213.8240,9,8,2016
dumar022,poloniex,2.0450,9,8,2016
emancipatedhuman,bittrex,100.0000,9,8,2016
generalcopper,poloniex,0.2720,9,8,2016
grandpere,blocktrades,50.0000,9,8,2016
igl00,bittrex,100.0000,9,8,2016
joan-zhai,poloniex,11.9580,9,8,2016
johnsarris,poloniex,186.0000,9,8,2016
keithsmih,bittrex,16.8210,9,8,2016
kenjiby,poloniex,6.4450,9,8,2016
klye,poloniex,300.0000,9,8,2016
lauralemons,blocktrades,60.0000,9,8,2016
lily-da-vine,poloniex,18.6460,9,8,2016
loganarchy,bittrex,2.9730,9,8,2016
nickjames,poloniex,22.1370,9,8,2016
piedpiper,bittrex,194.6930,9,8,2016
poloniex,bittrex,2372.6680,9,8,2016
poloniex,btcmsia,7706.7370,9,8,2016
poloniex,hitbtc-exchange,1.9850,9,8,2016
poloniex,icfiedler,2370.8070,9,8,2016
poloniex,james-show,1917.8190,9,8,2016
poloniex,paws1t1veev,998.4900,9,8,2016
poloniex,steemgrindr,361.3150,9,8,2016
rampantdigitalis,poloniex,0.1900,9,8,2016
steemgrindr,bittrex,1235.4160,9,8,2016
steemqueror,poloniex,0.1160,9,8,2016
takethecannoli,bittrex,249.4720,9,8,2016
thesealover,bittrex,218.0000,9,8,2016
timd,bittrex,0.7580,9,8,2016
timsaid,poloniex,1078.2930,9,8,2016
tobias,poloniex,8996.2390,9,8,2016
winstonwolfe,blocktrades,237.0000,9,8,2016
arwani-wawan,poloniex,0.5100,10,8,2016
blocktrades,ryan-singer,265.8200,10,8,2016
creationlayer,poloniex,5297.3830,10,8,2016
dragonanarchist,poloniex,740.0000,10,8,2016
enki,bittrex,2000.0000,10,8,2016
erroneous-logic,bittrex,0.0120,10,8,2016
ethereums1,poloniex,8.7390,10,8,2016
etz,poloniex,12.0000,10,8,2016
febird,poloniex,15.3340,10,8,2016
healthyrecipes,bittrex,214.6010,10,8,2016
innerexplorer,poloniex,2.6950,10,8,2016
jazzycrypt,poloniex,0.6740,10,8,2016
lukewearechange,poloniex,100.0000,10,8,2016
neilstrauss,bittrex,1000.0000,10,8,2016
noganoo,bittrex,137.3000,10,8,2016
poloniex,christianovich,30.9120,10,8,2016
poloniex,creationlayer,41.7630,10,8,2016
rendra-permana,bittrex,3.1420,10,8,2016
romanskv,bittrex,0.0970,10,8,2016
sammy007,poloniex,69.0810,10,8,2016
steembeast,poloniex,4.1410,10,8,2016
venuspcs,bittrex,1000.0000,10,8,2016
veralynn,blocktrades,50.0000,10,8,2016
anca3drandom,poloniex,50.0000,10,8,2016
arcaneinfo,bittrex,2.0000,10,8,2016
bittrex,james-show,394.2300,10,8,2016
bittrex,smooth-c,7000.0000,10,8,2016
blocktrades,vincent,6423.1230,10,8,2016
byron-hazard,bittrex,105.5140,10,8,2016
cryptoboom,bittrex,1.4640,10,8,2016
egjoshslim,blocktrades,11.3500,10,8,2016
ftlian,poloniex,1000.0000,10,8,2016
girlpower,poloniex,1.1460,10,8,2016
jamiecrypto,poloniex,190.0000,10,8,2016
jaycobbell,bittrex,500.0000,10,8,2016
jholdsworthy,poloniex,301.5600,10,8,2016
komolova19,poloniex,3.3180,10,8,2016
lauralemons,blocktrades,251.0000,10,8,2016
logic,poloniex,190.0000,10,8,2016
ontofractal,poloniex,80.0000,10,8,2016
penambang,bittrex,2.0000,10,8,2016
poloniex,alifton,79.0930,10,8,2016
poloniex,steemgrindr,296.4760,10,8,2016
steve-walschot,poloniex,1510.3210,10,8,2016
thebluepanda,bittrex,889.1360,10,8,2016
tinfoilfedora,bittrex,2001.0000,10,8,2016
vonnyalicia,bittrex,10.3050,10,8,2016
zorro,poloniex,723.4890,10,8,2016
andrewdemeter,bittrex,483.0940,10,8,2016
bendjmiller222,bittrex,28.6040,10,8,2016
bittrex,demotruk,2531.4300,10,8,2016
blocktrades,dtsddace,9.2050,10,8,2016
churdtzu,bittrex,500.0000,10,8,2016
claudiop63,poloniex,5.0000,10,8,2016
cryptogee,bittrex,1631.9450,10,8,2016
d3nv3r,blocktrades,25.3150,10,8,2016
decha,bittrex,85.5430,10,8,2016
federicopistono,poloniex,1488.9240,10,8,2016
fleuri,poloniex,3.0440,10,8,2016
hitbtc-exchange,hitbtc-payout,1.9740,10,8,2016
jms21y,bittrex,0.1460,10,8,2016
kafkanarchy84,blocktrades,376.7670,10,8,2016
kaylinart,blocktrades,1000.0000,10,8,2016
keithsmih,bittrex,1.3270,10,8,2016
klye,poloniex,69.2400,10,8,2016
kus-knee,blocktrades,710.9920,10,8,2016
larkenrose,poloniex,348.9000,10,8,2016
lily-da-vine,poloniex,14.8980,10,8,2016
moneymaker,bittrex,0.1800,10,8,2016
neilradimaker,bittrex,41.0000,10,8,2016
njall,bittrex,124.4940,10,8,2016
ozchartart,poloniex,907.2360,10,8,2016
poloniex,bonface,99.0000,10,8,2016
poloniex,federicopistono,0.9900,10,8,2016
poloniex,revulv,19.0540,10,8,2016
rampantdigitalis,poloniex,1.2300,10,8,2016
robi-rusmana,bittrex,0.1600,10,8,2016
shaneradliff,blocktrades,12.0000,10,8,2016
the-alien,blocktrades,1400.0000,10,8,2016
ucing,bittrex,0.1190,10,8,2016
alexandre,poloniex,1.1000,10,8,2016
bitminter,bittrex,50.0000,10,8,2016
bittrex,asd91,1500.0000,10,8,2016
bittrex,dennygalindo,36.6500,10,8,2016
bittrex,poloniex,2554.2500,10,8,2016
coininstant,bittrex,1.1500,10,8,2016
d3nv3r,poloniex,85.0000,10,8,2016
drinkzya,poloniex,92.9570,10,8,2016
emancipatedhuman,bittrex,1.0000,10,8,2016
firepower,poloniex,213.6470,10,8,2016
forrestwillie,blocktrades,116.2600,10,8,2016
karisa,poloniex,15.9000,10,8,2016
karoline,bittrex,0.6610,10,8,2016
kenny-crane,bittrex,350.0000,10,8,2016
mf-tzo,blocktrades,0.0100,10,8,2016
nonlinearone,blocktrades,0.0040,10,8,2016
olesya,poloniex,18.0000,10,8,2016
poloniex,bittrex,2165.6690,10,8,2016
poloniex,enki,4999.9900,10,8,2016
poloniex,firepower,30.8430,10,8,2016
poloniex,icfiedler,1999.9590,10,8,2016
poloniex,james-show,1407.9140,10,8,2016
poloniex,jl777,1999.9900,10,8,2016
poloniex,knircky,2.9900,10,8,2016
poloniex,nanzo-scoop,254.2290,10,8,2016
poloniex,paws1t1veev,998.4900,10,8,2016
poloniex,thecryptofiend,99.7400,10,8,2016
poloniex,unobservant,1500.4900,10,8,2016
shredlord,bittrex,548.9730,10,8,2016
sock,poloniex,15.4880,10,8,2016
sterlinluxan,poloniex,500.0000,10,8,2016
sunshinecrypto,poloniex,0.2800,10,8,2016
thegoldencookie,bittrex,60.0000,10,8,2016
usefree,bittrex,32.0000,10,8,2016
vincent,poloniex,5996.4630,10,8,2016
wisehammer,bittrex,1.0820,10,8,2016
alexbeyman,blocktrades,743.7740,11,8,2016
bittrex,arslan7544,5579.3200,11,8,2016
bittrex,enki,999.9900,11,8,2016
bittrex,james-show,379.9900,11,8,2016
coinbitgold,poloniex,2000.0000,11,8,2016
derekareith,bittrex,205.9460,11,8,2016
erroneous-logic,bittrex,0.0400,11,8,2016
fmluser,bittrex,26.3520,11,8,2016
getssidetracked,poloniex,76.2310,11,8,2016
healthyrecipes,bittrex,140.9350,11,8,2016
henriquez147,blocktrades,1.3700,11,8,2016
hr1,bittrex,1000.0000,11,8,2016
karnal,poloniex,768.2850,11,8,2016
klye,poloniex,163.0070,11,8,2016
larkenrose,poloniex,163.9200,11,8,2016
loveangel,bittrex,5.3650,11,8,2016
mctiller,bittrex,8.1700,11,8,2016
moneymaker,bittrex,0.1480,11,8,2016
noganoo,bittrex,312.0500,11,8,2016
oaldamster,hitbtc-exchange,190.4280,11,8,2016
opheliafu,poloniex,1095.4950,11,8,2016
poloniex,arcurus,1000.0000,11,8,2016
poloniex,btcmsia,2243.8330,11,8,2016
poloniex,dantheman,24999.9900,11,8,2016
poloniex,jay4u,26.5990,11,8,2016
poloniex,klye,59.9970,11,8,2016
poloniex,mughat,2300.0000,11,8,2016
poloniex,shutkin70,1594.2900,11,8,2016
poloniex,steemgrindr,2182.3780,11,8,2016
poloniex,zer0sum,299.0000,11,8,2016
pressfortruth,poloniex,100.0000,11,8,2016
rahmat,bittrex,2.0000,11,8,2016
vdoh,openledger,0.0010,11,8,2016
vdoh,poloniex,0.0010,11,8,2016
walter,poloniex,7649.2510,11,8,2016
alisonleigh21,poloniex,365.4940,11,8,2016
attilla82,poloniex,110.6970,11,8,2016
bittrex,smooth-c,8000.0000,11,8,2016
blocktrades,levycore,11.0000,11,8,2016
blocktrades,walter,7649.2510,11,8,2016
booja,poloniex,1000.0000,11,8,2016
coinphilosopher,poloniex,21.3990,11,8,2016
dashpaymag,poloniex,306.4680,11,8,2016
dmitriybtc,poloniex,5.6670,11,8,2016
girlsgirlsgirls,poloniex,0.6110,11,8,2016
hossary,blocktrades,293.0000,11,8,2016
igl00,bittrex,157.5790,11,8,2016
kingsjack123,bittrex,0.0120,11,8,2016
lasvegasgirl,bittrex,84.1910,11,8,2016
lauralemons,blocktrades,94.0000,11,8,2016
levycore,blocktrades,136.0000,11,8,2016
omotherhen,poloniex,608.7160,11,8,2016
onighost,poloniex,1.2170,11,8,2016
poloniex,hitbtc-exchange,98.8400,11,8,2016
poloniex,james-show,2145.3100,11,8,2016
poloniex,jl777,1999.9900,11,8,2016
poloniex,paws1t1veev,4580.2450,11,8,2016
poloniex,unobservant,1000.5000,11,8,2016
poloniex,williambanks,193.9230,11,8,2016
queenmountain,bittrex,1.0000,11,8,2016
richman,poloniex,557.9220,11,8,2016
sergei,bittrex,0.0350,11,8,2016
steemingnow,bittrex,50.0000,11,8,2016
thebluepanda,bittrex,700.0000,11,8,2016
timd,bittrex,1.7370,11,8,2016
timdierckxsens,bittrex,90.0000,11,8,2016
timsaid,poloniex,260.4700,11,8,2016
trevorjenglish,blocktrades,161.3950,11,8,2016
vdoh,blocktrades,0.0010,11,8,2016
zivile,bittrex,148.0020,11,8,2016
alexandre,poloniex,617.0000,11,8,2016
bittrex,jay4u,19.9000,11,8,2016
bittrex,kyronlahti,6.1500,11,8,2016
bittrex,poloniex,12.5700,11,8,2016
bittrex,steemgrindr,2064.0100,11,8,2016
chalidore,bittrex,250.0000,11,8,2016
eneismijmich,poloniex,241.7840,11,8,2016
ericdjuly,bittrex,20.0000,11,8,2016
hitbtc-exchange,hitbtc-payout,288.0000,11,8,2016
kaylinart,blocktrades,5807.4850,11,8,2016
kental,poloniex,400.0000,11,8,2016
liquidrainbowx,blocktrades,103.0000,11,8,2016
metalcrypto86,poloniex,231.0000,11,8,2016
poloniex,bittrex,2520.7370,11,8,2016
poloniex,foma17,10.0300,11,8,2016
raul83,poloniex,382.7070,11,8,2016
scalextrix,bittrex,2.8910,11,8,2016
tjpezlo,poloniex,10.2960,11,8,2016
uuuhha,poloniex,261.4180,11,8,2016
vdoh,bittrex,0.0010,11,8,2016
abarefootpoet,blocktrades,116.5260,11,8,2016
aleco,bittrex,3.7270,11,8,2016
bittrex,asd91,1000.0000,11,8,2016
calaber24p,poloniex,393.1580,11,8,2016
churdtzu,bittrex,500.0000,11,8,2016
claudiop63,poloniex,14.0000,11,8,2016
cryptoboom,bittrex,119.0000,11,8,2016
drwasho,poloniex,898.0000,11,8,2016
guineapig,bittrex,0.0400,11,8,2016
hitbtc-payout,poloniex,190.3960,11,8,2016
jholdsworthy,bittrex,119.1000,11,8,2016
kingscrown,bittrex,107.8880,11,8,2016
mxu111,blocktrades,1.7940,11,8,2016
poloniex,alifton,871.1630,11,8,2016
poloniex,arslan7544,7775.8800,11,8,2016
